,label
0,0
1,1
2,0
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,1
11,1
12,1
13,0
14,1
15,0
16,1
17,0
18,0
19,1
20,0
21,1
22,0
23,1
24,1
25,0
26,0
27,1
28,1
29,0
30,0
31,1
32,0
33,0
34,1
35,1
36,0
37,0
38,0
39,0
40,1
41,1
42,1
43,1
44,0
45,1
46,0
47,0
48,0
49,1
50,0
51,0
52,0
53,1
54,0
55,0
56,1
57,0
58,0
59,0
60,1
61,1
62,1
63,1
64,0
65,1
66,0
67,1
68,0
69,0
70,1
71,1
72,1
73,0
74,0
75,0
76,0
77,0
78,1
79,0
80,1
81,0
82,1
83,0
84,0
85,0
86,1
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,1
95,0
96,0
97,0
98,1
99,0
100,0
101,0
102,0
103,1
104,1
105,0
106,0
107,1
108,0
109,1
110,0
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,0
122,0
123,1
124,0
125,0
126,0
127,0
128,0
129,1
130,1
131,0
132,0
133,0
134,1
135,1
136,0
137,0
138,1
139,0
140,1
141,1
142,0
143,0
144,0
145,0
146,0
147,1
148,0
149,1
150,1
151,0
152,0
153,0
154,1
155,0
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,0
165,0
166,1
167,1
168,0
169,0
170,1
171,1
172,0
173,0
174,0
175,0
176,1
177,0
178,0
179,0
180,0
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,1
194,0
195,1
196,0
197,0
198,0
199,0
200,1
201,1
202,1
203,1
204,0
205,0
206,1
207,0
208,1
209,0
210,0
211,1
212,0
213,0
214,0
215,1
216,1
217,0
218,0
219,0
220,1
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,1
231,1
232,0
233,0
234,1
235,0
236,1
237,0
238,1
239,0
240,0
241,1
242,0
243,0
244,1
245,0
246,0
247,1
248,1
249,0
250,1
251,0
252,0
253,1
254,1
255,1
256,0
257,0
258,0
259,0
260,0
261,0
262,1
263,1
264,1
265,0
266,0
267,0
268,1
269,0
270,1
271,0
272,0
273,0
274,0
275,0
276,1
277,0
278,0
279,0
280,0
281,0
282,1
283,1
284,0
285,1
286,1
287,0
288,1
289,1
290,0
291,0
292,0
293,0
294,1
295,0
296,0
297,1
298,0
299,0
300,1
301,0
302,0
303,0
304,1
305,0
306,1
307,0
308,0
309,0
310,1
311,0
312,1
313,0
314,1
315,0
316,0
317,1
318,1
319,1
320,0
321,0
322,1
323,0
324,1
325,0
326,0
327,0
328,0
329,0
330,1
331,0
332,0
333,1
334,1
335,1
336,1
337,1
338,1
339,0
340,0
341,1
342,0
343,0
344,0
345,1
346,0
347,0
348,0
349,1
350,0
351,0
352,1
353,0
354,0
355,1
356,0
357,0
358,0
359,0
360,0
361,1
362,0
363,0
364,1
365,1
366,1
367,1
368,0
369,1
370,0
371,0
372,0
373,1
374,1
375,1
376,1
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,1
389,0
390,0
391,1
392,0
393,0
394,0
395,0
396,1
397,1
398,1
399,1
400,1
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,1
