,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender_F,Gender_M,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
0,6,6,1,1420,0.762,4256,70,0.591,0.645,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1,3,3,2,0,0.628,14134,85,0.7,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2,1,3,2,1816,0.978,15554,99,0.6779999999999999,0.128,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
3,1,1,2,1978,0.917,14965,127,0.716,0.636,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
4,2,3,3,751,0.8140000000000001,14074,112,0.623,0.039,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
5,2,1,3,810,0.787,7917,95,0.667,0.023,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
6,4,2,0,1403,0.8859999999999999,1456,39,0.444,0.546,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
7,5,2,1,0,0.9229999999999999,3383,61,1.103,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
8,4,1,3,1635,0.7,2553,59,0.5529999999999999,0.551,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
9,5,2,4,1808,0.75,4262,70,0.667,0.504,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
10,1,3,2,1853,0.6659999999999999,7739,101,0.9059999999999999,0.8240000000000001,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
11,3,1,2,2517,0.743,4890,65,0.667,0.743,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
12,6,3,2,1657,1.1340000000000001,4542,86,0.87,0.17,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
13,6,3,3,1262,0.898,1877,41,0.7829999999999999,0.28300000000000003,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
14,5,4,3,1352,0.879,4121,81,0.42100000000000004,0.769,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
15,4,3,3,2465,0.772,3331,74,0.682,0.55,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
16,3,3,3,2517,0.92,1373,35,0.591,0.17300000000000001,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
17,6,2,3,0,0.413,1993,41,0.32299999999999995,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
18,4,2,2,1519,0.917,4295,60,0.622,0.855,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
19,5,3,2,0,0.9590000000000001,4402,55,0.833,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
20,5,3,1,577,0.85,5035,64,1.37,0.095,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
21,4,2,2,1788,0.631,1421,34,0.308,0.075,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
