,Attrition_Flag
0,Existing Customer
1,Existing Customer
2,Existing Customer
3,Existing Customer
4,Existing Customer
5,Existing Customer
6,Existing Customer
7,Existing Customer
8,Existing Customer
9,Existing Customer
10,Existing Customer
11,Existing Customer
12,Existing Customer
13,Existing Customer
14,Existing Customer
15,Existing Customer
16,Existing Customer
17,Attrited Customer
18,Existing Customer
19,Existing Customer
20,Existing Customer
21,Existing Customer
22,Attrited Customer
23,Existing Customer
24,Attrited Customer
25,Existing Customer
26,Existing Customer
27,Existing Customer
28,Existing Customer
29,Existing Customer
30,Attrited Customer
31,Existing Customer
32,Existing Customer
33,Existing Customer
34,Existing Customer
35,Attrited Customer
36,Existing Customer
37,Existing Customer
38,Existing Customer
39,Attrited Customer
40,Existing Customer
41,Existing Customer
42,Attrited Customer
43,Attrited Customer
44,Existing Customer
45,Attrited Customer
46,Existing Customer
47,Existing Customer
48,Existing Customer
49,Existing Customer
50,Existing Customer
51,Attrited Customer
52,Existing Customer
53,Existing Customer
54,Existing Customer
55,Existing Customer
56,Existing Customer
57,Existing Customer
58,Attrited Customer
59,Existing Customer
60,Existing Customer
61,Attrited Customer
62,Existing Customer
63,Existing Customer
64,Existing Customer
65,Existing Customer
66,Existing Customer
67,Existing Customer
68,Attrited Customer
69,Existing Customer
70,Existing Customer
71,Existing Customer
72,Existing Customer
73,Existing Customer
74,Existing Customer
75,Existing Customer
76,Existing Customer
77,Attrited Customer
78,Existing Customer
79,Existing Customer
80,Existing Customer
81,Existing Customer
82,Existing Customer
83,Existing Customer
84,Existing Customer
85,Existing Customer
86,Existing Customer
87,Existing Customer
88,Existing Customer
89,Existing Customer
90,Existing Customer
91,Existing Customer
92,Existing Customer
93,Existing Customer
94,Attrited Customer
95,Existing Customer
96,Existing Customer
97,Existing Customer
98,Attrited Customer
99,Existing Customer
100,Existing Customer
101,Existing Customer
102,Existing Customer
103,Existing Customer
104,Attrited Customer
105,Existing Customer
106,Existing Customer
107,Existing Customer
108,Existing Customer
109,Existing Customer
110,Existing Customer
111,Existing Customer
112,Existing Customer
113,Existing Customer
114,Existing Customer
115,Existing Customer
116,Attrited Customer
117,Existing Customer
118,Existing Customer
119,Existing Customer
120,Existing Customer
121,Existing Customer
122,Existing Customer
123,Existing Customer
124,Existing Customer
125,Existing Customer
126,Existing Customer
127,Existing Customer
128,Attrited Customer
129,Existing Customer
130,Attrited Customer
131,Existing Customer
132,Existing Customer
133,Existing Customer
134,Existing Customer
135,Existing Customer
136,Attrited Customer
137,Existing Customer
138,Existing Customer
139,Existing Customer
140,Existing Customer
141,Existing Customer
142,Attrited Customer
143,Existing Customer
144,Existing Customer
145,Existing Customer
146,Existing Customer
147,Existing Customer
148,Existing Customer
149,Existing Customer
150,Existing Customer
151,Existing Customer
152,Attrited Customer
153,Existing Customer
154,Existing Customer
155,Attrited Customer
156,Existing Customer
157,Existing Customer
158,Attrited Customer
159,Existing Customer
160,Attrited Customer
161,Existing Customer
162,Attrited Customer
163,Existing Customer
164,Existing Customer
165,Existing Customer
166,Existing Customer
167,Existing Customer
168,Existing Customer
169,Existing Customer
170,Existing Customer
171,Attrited Customer
172,Existing Customer
173,Attrited Customer
174,Existing Customer
175,Existing Customer
176,Existing Customer
177,Existing Customer
178,Existing Customer
179,Attrited Customer
180,Existing Customer
181,Existing Customer
182,Existing Customer
183,Existing Customer
184,Existing Customer
185,Existing Customer
186,Existing Customer
187,Existing Customer
188,Existing Customer
189,Existing Customer
190,Existing Customer
191,Existing Customer
192,Existing Customer
193,Existing Customer
194,Existing Customer
195,Attrited Customer
196,Existing Customer
197,Existing Customer
198,Existing Customer
199,Existing Customer
200,Existing Customer
201,Attrited Customer
202,Attrited Customer
203,Existing Customer
204,Attrited Customer
205,Existing Customer
206,Existing Customer
207,Attrited Customer
208,Attrited Customer
209,Existing Customer
210,Existing Customer
211,Existing Customer
212,Existing Customer
213,Existing Customer
214,Existing Customer
215,Existing Customer
216,Existing Customer
217,Existing Customer
218,Attrited Customer
219,Existing Customer
220,Existing Customer
221,Existing Customer
222,Existing Customer
223,Existing Customer
224,Existing Customer
225,Existing Customer
226,Existing Customer
227,Existing Customer
228,Existing Customer
229,Existing Customer
230,Existing Customer
231,Existing Customer
232,Existing Customer
233,Existing Customer
234,Existing Customer
235,Existing Customer
236,Existing Customer
237,Existing Customer
238,Existing Customer
239,Existing Customer
240,Existing Customer
241,Existing Customer
242,Existing Customer
243,Attrited Customer
244,Existing Customer
245,Existing Customer
246,Existing Customer
247,Existing Customer
248,Existing Customer
249,Existing Customer
250,Existing Customer
251,Existing Customer
252,Existing Customer
253,Existing Customer
254,Existing Customer
255,Existing Customer
256,Existing Customer
257,Existing Customer
258,Existing Customer
259,Existing Customer
260,Existing Customer
261,Existing Customer
262,Existing Customer
263,Existing Customer
264,Existing Customer
265,Existing Customer
266,Existing Customer
267,Existing Customer
268,Existing Customer
269,Existing Customer
270,Existing Customer
271,Existing Customer
272,Attrited Customer
273,Existing Customer
274,Existing Customer
275,Existing Customer
276,Existing Customer
277,Existing Customer
278,Existing Customer
279,Existing Customer
280,Existing Customer
281,Existing Customer
282,Existing Customer
283,Existing Customer
284,Existing Customer
285,Existing Customer
286,Existing Customer
287,Attrited Customer
288,Existing Customer
289,Attrited Customer
290,Existing Customer
291,Existing Customer
292,Existing Customer
293,Existing Customer
294,Existing Customer
295,Attrited Customer
296,Attrited Customer
297,Existing Customer
298,Existing Customer
299,Existing Customer
300,Attrited Customer
301,Existing Customer
302,Existing Customer
303,Existing Customer
304,Existing Customer
305,Existing Customer
306,Existing Customer
307,Attrited Customer
308,Existing Customer
309,Existing Customer
310,Attrited Customer
311,Existing Customer
312,Existing Customer
313,Existing Customer
314,Existing Customer
